5327.87455 17.377 0.012
5327.91268 17.351 0.012
5328.60940 17.512 0.013
5328.68340 17.509 0.012
5328.75228 17.489 0.010
5328.79064 17.559 0.013
5328.83137 17.561 0.014
5328.86913 17.555 0.013
5328.90691 17.557 0.013
5329.70711 17.111 0.011
5334.62965 17.488 0.013
5334.69575 17.352 0.012
5334.77654 17.192 0.010
5334.83630 17.135 0.009
5334.87400 17.087 0.010
5334.91463 17.118 0.012
5335.71991 17.368 0.010
5335.75915 17.370 0.010
5335.79880 17.400 0.011
5335.83820 17.384 0.012
5335.87591 17.389 0.014
5335.91360 17.409 0.013
5336.79303 17.590 0.015
5336.85744 17.606 0.014
5336.92243 17.604 0.016
5337.76900 17.204 0.010
5337.80890 17.241 0.011
5337.84728 17.224 0.012
5337.88522 17.300 0.013
5337.92367 17.268 0.015
5338.76654 17.467 0.013
5338.80575 17.469 0.019
5338.84704 17.511 0.020
5339.64214 17.639 0.019
5339.68196 17.638 0.018
5339.74836 17.584 0.016
5339.81362 17.525 0.015
5339.87925 17.402 0.016
5339.91917 17.310 0.017
5340.62811 17.269 0.018
5340.66579 17.294 0.013
5340.75234 17.310 0.015
5340.81005 17.327 0.019
5340.84807 17.358 0.017
5340.88654 17.349 0.014
5340.92415 17.344 0.017
5341.59832 17.482 0.015
5341.67149 17.501 0.013
5341.74287 17.512 0.014
5341.81744 17.550 0.014
5341.85564 17.516 0.014
5341.89338 17.556 0.014
5341.93357 17.599 0.019
5342.60766 17.154 0.015
5342.64514 17.116 0.014
5342.68276 17.108 0.012
5342.72027 17.111 0.012
5342.76133 17.104 0.011
5342.80325 17.143 0.014
5342.84099 17.147 0.012
5342.87886 17.193 0.014
5342.91671 17.210 0.016
5343.58840 17.381 0.019
5343.62601 17.396 0.019
5343.66369 17.398 0.015
5343.70143 17.406 0.016
5343.73943 17.369 0.015
5343.77984 17.426 0.016
5343.81892 17.455 0.015
5343.85702 17.460 0.016
5343.86975 17.445 0.018
5343.90785 17.468 0.020
5348.60385 17.317 0.014
5348.67332 17.361 0.013
5348.76604 17.375 0.012
5348.80431 17.403 0.014
5348.84220 17.402 0.013
5348.88672 17.404 0.015
5348.92636 17.402 0.018
5349.60280 17.610 0.020
5349.68458 17.554 0.016
5349.77939 17.582 0.019
5349.81740 17.606 0.015
5349.85661 17.584 0.018
5350.65501 17.204 0.013
5350.69256 17.208 0.014
5350.73127 17.204 0.013
5351.59336 17.444 0.013
5351.65050 17.459 0.012
5351.72964 17.442 0.012
5351.81565 17.474 0.014
5351.88988 17.498 0.019
5352.60457 17.601 0.018
5352.65291 17.612 0.015
5352.74657 17.556 0.013
5352.81599 17.490 0.013
5352.83087 17.445 0.013
5352.88622 17.375 0.014
5352.92384 17.340 0.015
5353.63610 17.325 0.011
5353.71286 17.319 0.010
5353.78104 17.333 0.011
5353.81874 17.351 0.012
5353.86352 17.349 0.012
5354.57684 17.498 0.014
5354.65862 17.525 0.014
5354.75393 17.515 0.013
5354.83017 17.519 0.014
5354.87051 17.551 0.016
5354.90909 17.548 0.019
5355.59969 17.127 0.010
5355.68424 17.105 0.010
5355.77130 17.142 0.011
5355.82404 17.163 0.011
5355.87259 17.201 0.014
5357.61272 17.582 0.016
5357.68183 17.632 0.015
5357.77227 17.630 0.016
5357.87253 17.595 0.020
5358.65069 17.233 0.010
5358.74524 17.298 0.011
5358.85541 17.307 0.012
5359.57813 17.437 0.016
5359.62235 17.495 0.015
5359.67552 17.490 0.013
5359.72347 17.517 0.015
